player_id,player_name,season,league,team,role,age,pa,g,bb_pct,k_pct,iso,babip,hr_pct,avg,obp,slg,woba,home_pa,road_pa,home_woba,road_woba,park_id,source,is_synthetic
npb-13715132,"Viciedo, Dayan",2018,NPB,Chunichi Dragons,batter,27.0,582.0,135.0,0.0945017182130584,0.1048109965635738,0.20703125,0.3576470588235294,0.0446735395189003,0.348,0.419,0.555,0.4187628865979381,291.0,291.0,0.4187628865979381,0.4187628865979381,D,npb-official,False
npb-51955114,"Sakamoto, Hayato",2018,NPB,Yomiuri Giants,batter,27.0,502.0,109.0,0.1414342629482071,0.1653386454183266,0.1927437641723356,0.3941176470588235,0.0358565737051792,0.345,0.424,0.537,0.4063147410358566,251.0,251.0,0.4063147410358566,0.4063147410358566,G,npb-official,False
"npb-name-Hirata, Ryosuke","Hirata, Ryosuke",2018,NPB,Chunichi Dragons,batter,27.0,568.0,138.0,0.125,0.1214788732394366,0.127789046653144,0.3686746987951807,0.0158450704225352,0.329,0.41,0.456,0.3771654929577465,284.0,284.0,0.3771654929577465,0.3771654929577465,D,npb-official,False
"npb-name-Aoki, Norichika","Aoki, Norichika",2018,NPB,Yakult Swallows,batter,27.0,567.0,127.0,0.091710758377425,0.0846560846560846,0.1474747474747474,0.3478260869565217,0.0176366843033509,0.327,0.409,0.475,0.3892592592592593,283.5,283.5,0.3892592592592593,0.3892592592592593,S,npb-official,False
"npb-name-Almonte, Zoilo","Almonte, Zoilo",2018,NPB,Chunichi Dragons,batter,27.0,546.0,132.0,0.0824175824175824,0.1739926739926739,0.1646586345381526,0.3737113402061855,0.0274725274725274,0.321,0.375,0.486,0.3754578754578754,273.0,273.0,0.3754578754578754,0.3754578754578754,D,npb-official,False
"npb-name-Suzuki, Seiya","Suzuki, Seiya",2018,NPB,Hiroshima Carp,batter,27.0,520.0,124.0,0.173076923076923,0.2230769230769231,0.2985781990521327,0.3804347826086957,0.0576923076923076,0.32,0.438,0.618,0.4480961538461538,260.0,260.0,0.4480961538461538,0.4480961538461538,C,npb-official,False
"npb-name-Takai, Yuhei","Takai, Yuhei",2018,NPB,Yakult Swallows,batter,27.0,482.0,125.0,0.0788381742738589,0.1286307053941908,0.1210762331838565,0.3512064343163539,0.0228215767634854,0.318,0.365,0.439,0.3478838174273859,241.0,241.0,0.3478838174273859,0.3478838174273859,S,npb-official,False
npb-51455137,"Miyazaki, Toshiro",2018,NPB,DeNA BayStars,batter,27.0,590.0,142.0,0.0694915254237288,0.0762711864406779,0.2141560798548094,0.3075313807531381,0.047457627118644,0.318,0.363,0.532,0.3854576271186441,295.0,295.0,0.3854576271186441,0.3854576271186441,DB,npb-official,False
"npb-name-Sakaguchi, Tomotaka","Sakaguchi, Tomotaka",2018,NPB,Yakult Swallows,batter,27.0,595.0,139.0,0.134453781512605,0.1008403361344537,0.076771653543307,0.3550561797752809,0.0050420168067226,0.317,0.406,0.394,0.3506890756302521,297.5,297.5,0.3506890756302521,0.3506890756302521,S,npb-official,False
npb-91895133,"Yamada, Tetsuto",2018,NPB,Yakult Swallows,batter,27.0,637.0,140.0,0.1742543171114599,0.1868131868131868,0.2671755725190839,0.353099730458221,0.053375196232339,0.315,0.432,0.582,0.4315227629513343,318.5,318.5,0.4315227629513343,0.4315227629513343,S,npb-official,False
npb-03505136,"Soto, Neftali",2018,NPB,DeNA BayStars,batter,27.0,459.0,107.0,0.0675381263616557,0.2178649237472767,0.3341346153846153,0.32,0.0893246187363834,0.31,0.364,0.644,0.4261655773420479,229.5,229.5,0.4261655773420479,0.4261655773420479,DB,npb-official,False
"npb-name-Okamoto, Kazuma","Okamoto, Kazuma",2018,NPB,Yomiuri Giants,batter,27.0,616.0,143.0,0.1185064935064935,0.1948051948051948,0.2314814814814814,0.3462532299741602,0.0535714285714285,0.309,0.394,0.541,0.4063474025974026,308.0,308.0,0.4063474025974026,0.4063474025974026,G,npb-official,False
"npb-name-Itoi, Yoshio","Itoi, Yoshio",2018,NPB,Hanshin Tigers,batter,27.0,509.0,119.0,0.1591355599214145,0.1237721021611002,0.1718377088305489,0.3323529411764706,0.0314341846758349,0.308,0.42,0.48,0.3917878192534381,254.5,254.5,0.3917878192534381,0.3917878192534381,T,npb-official,False
