player_id,player_name,season,league,team,role,age,pa,g,bb_pct,k_pct,iso,babip,hr_pct,avg,obp,slg,woba,home_pa,road_pa,home_woba,road_woba,park_id,source,is_synthetic
kbo-76290,gimhyeonsu,2018,KBO,LG,batter,27.0,511.0,117.0,0.1037181996086105,0.1193737769080234,0.227373068432671,0.3870967741935484,0.0391389432485322,0.362,0.415,0.589,0.4216242661448141,255.5,255.5,0.4216242661448141,0.4216242661448141,LG,kbo-official,False
kbo-76232,yanguiji,2018,KBO,dusan,batter,27.0,503.0,133.0,0.1013916500994035,0.0795228628230616,0.2277904328018223,0.3563829787234042,0.0457256461232604,0.358,0.427,0.585,0.4285884691848906,251.5,251.5,0.4285884691848906,0.4285884691848906,두산,kbo-official,False
kbo-name-ijeonghu,ijeonghu,2018,KBO,neksen,batter,27.0,520.0,109.0,0.0865384615384615,0.1115384615384615,0.1220043572984749,0.3974683544303797,0.0115384615384615,0.355,0.412,0.477,0.3834230769230769,260.0,260.0,0.3834230769230769,0.3834230769230769,넥센,kbo-official,False
kbo-name-bakbyeongho,bakbyeongho,2018,KBO,neksen,batter,27.0,488.0,113.0,0.1598360655737705,0.2336065573770492,0.3725,0.3909465020576131,0.0881147540983606,0.345,0.457,0.718,0.4809631147540983,244.0,244.0,0.4809631147540983,0.4809631147540983,넥센,kbo-official,False
kbo-79608,anchihong,2018,KBO,KIA,batter,27.0,549.0,130.0,0.0673952641165755,0.1038251366120218,0.2206477732793522,0.3526570048309179,0.0418943533697632,0.342,0.392,0.563,0.4093989071038251,274.5,274.5,0.4093989071038251,0.4093989071038251,KIA,kbo-official,False
kbo-78513,jeonjunu,2018,KBO,rotde,batter,27.0,614.0,144.0,0.0798045602605863,0.1335504885993485,0.25,0.3560090702947845,0.0537459283387622,0.342,0.4,0.592,0.4261237785016286,307.0,307.0,0.4261237785016286,0.4261237785016286,롯데,kbo-official,False
kbo-name-gimjuchan,gimjuchan,2018,KBO,KIA,batter,27.0,471.0,121.0,0.0594479830148619,0.1210191082802547,0.1794871794871795,0.3615819209039548,0.0382165605095541,0.34,0.375,0.52,0.3777494692144374,235.5,235.5,0.3777494692144374,0.3777494692144374,KIA,kbo-official,False
kbo-72443,choehyeongu,2018,KBO,KIA,batter,27.0,609.0,143.0,0.1198686371100164,0.1428571428571428,0.2102272727272727,0.3701923076923077,0.0410509031198686,0.339,0.414,0.549,0.4088013136288999,304.5,304.5,0.4088013136288999,0.4088013136288999,KIA,kbo-official,False
kbo-name-yuhanjun,yuhanjun,2018,KBO,KT,batter,27.0,480.0,121.0,0.1041666666666666,0.1104166666666666,0.1939252336448598,0.352112676056338,0.0416666666666666,0.339,0.406,0.533,0.4036666666666667,240.0,240.0,0.4036666666666667,0.4036666666666667,KT,kbo-official,False
kbo-78224,gimjaehwan,2018,KBO,dusan,batter,27.0,602.0,139.0,0.1046511627906976,0.2225913621262458,0.3225806451612903,0.3782234957020057,0.0730897009966777,0.334,0.405,0.657,0.4463787375415283,301.0,301.0,0.4463787375415283,0.4463787375415283,두산,kbo-official,False
kbo-76267,choejuhwan,2018,KBO,dusan,batter,27.0,590.0,138.0,0.0881355932203389,0.1508474576271186,0.2485549132947976,0.3638613861386138,0.0440677966101694,0.333,0.397,0.582,0.4175084745762712,295.0,295.0,0.4175084745762712,0.4175084745762712,두산,kbo-official,False
kbo-name-idaeho,idaeho,2018,KBO,rotde,batter,27.0,604.0,144.0,0.0827814569536423,0.1241721854304635,0.2596685082872928,0.334106728538283,0.0612582781456953,0.333,0.394,0.593,0.4175165562913907,302.0,302.0,0.4175165562913907,0.4175165562913907,롯데,kbo-official,False
